review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1435ZOMFHAUP5,5,32,39,N,Y
R3KPQEXFQKAI09,2,25,29,N,Y
R3OR8L51RFDEP4,1,59,82,N,N
R3SJAQ0B336YKZ,5,21,21,N,Y
R2RVBJUIFIF353,1,22,22,N,N
R26Q7L4FI2L0R0,1,43,47,N,Y
R3DA6DOGUSZMQH,5,28,31,N,Y
R11EW00NPPWZT5,5,49,74,N,N
R10INAVCBFJZ4,3,25,26,N,Y
R1WL8X9ONWLQL7,5,27,29,N,Y
R1KLME5EC4SI1I,1,30,34,N,Y
RDCUGAUD89SW9,1,28,37,N,Y
R2KBJ86PKTLAPP,5,18,25,N,Y
R3736BJZF9WFXD,1,27,39,N,Y
R31GZD2OG5PCXW,1,32,34,N,Y
RAN4B9TG8VARN,5,21,23,N,Y
R3UJB8BDLL3DFK,1,40,42,N,Y
R1HHWTE277UXFS,5,283,338,N,Y
RRRHXS67TH487,5,18,24,N,N
R4UL0OOP5XTVR,3,26,28,N,N
R12IM35T1I3AHK,1,25,41,N,N
R9QC7P6HDIYO6,2,31,31,N,Y
RNTUQ9IY2HUSR,5,25,40,N,N
R1DMJL459JKXYO,5,48,53,N,Y
R3228WW6LXC8DT,5,40,46,N,Y
R1LM5O1J1PRXNN,2,33,40,N,Y
R2ODS7579STTN3,1,25,25,N,Y
RTPT6GGLZSELM,5,26,36,N,N
RUNZEGY15BU4B,5,30,35,N,Y
R1OCT8UTW2ETVP,5,28,44,N,N
R3085F0DH0WQ2Q,2,105,110,N,N
R1Q3DXDEQ3OSNA,5,18,28,N,N
R2R57J6UA82T2L,5,39,47,N,N
RPXPK9QW8UWHR,5,26,26,N,Y
R3MDOZLURB8TCQ,4,24,25,N,N
R2WGT4OVFUX5US,1,14,21,N,Y
R1LVT02AH34C95,1,199,221,N,N
R8FTCCXCMWLYT,1,43,46,N,Y
R3K26M246B1DBK,5,21,21,N,Y
R356TXBYE4LV2D,4,115,143,N,N
RQS96J48DAIZG,1,18,28,N,N
RXHQCPUJEBGNJ,5,20,24,N,Y
R3H5XBBDGMFOL0,5,26,35,N,Y
R3CBWUV168DQCN,5,27,29,N,Y
R1PUVR0UB847N9,1,87,109,N,Y
R1A61AWO67YTG9,5,83,88,N,Y
R1LZGGNT5U530L,5,21,22,N,Y
R3S5ADJ916DKTO,5,26,29,N,Y
R886C1K2K1LNL,1,21,24,N,Y
R29PVCCUKSAG7M,1,40,40,N,Y
R38EVNXO73AUGO,5,21,22,N,Y
R2YECFXEN2OKDM,1,39,54,N,Y
R3ET75KMNJT2TM,5,23,23,N,Y
R39XRLN68OVO1T,2,22,28,N,N
R11UUBU7JEIYCJ,1,16,22,N,N
R3C2QAGDAVT3BZ,1,22,27,N,Y
R3RTGS1KTQRJWW,3,35,41,N,N
R1JG73JTZYCMYU,5,62,66,N,Y
R3AB0GEESD4LTA,1,34,46,N,Y
R16DK605P69DHO,5,87,98,N,Y
R3PQAMDDMVEA12,1,12,23,N,Y
R3J0HZ0OKIXH5Q,2,21,30,N,N
R36I9AKSUBYA9C,4,20,25,N,Y
RQQZFZX6QU9ID,1,40,41,N,Y
R2KFNWH0HM5MQ2,3,16,23,N,N
R2I9PPU8QCQK40,5,22,24,N,Y
R3G3KOBWGUNJ6W,1,47,49,N,Y
RPA7HWGG6B6QX,3,21,24,N,Y
R4UP60DRN22EC,4,34,42,N,N
RABV7PGL4QG78,5,24,29,N,Y
R27ICTLXQQJ3DL,4,24,33,N,Y
R8YMPUZZEGYDE,5,35,40,N,Y
R1ZWR3D7RB1FXN,5,21,26,N,Y
R2D5UZBYWF1C6M,1,50,67,N,Y
R3KMX9UZK442XI,1,42,42,N,Y
R2P4OES7MM70IQ,4,20,22,N,N
R38NZU2NC9VEO0,5,19,22,N,N
R2X7V63JKA9Z0Y,5,23,28,N,Y
RQEZ8Q9CCFK39,4,29,32,N,N
R1BL5C3FUDNHQ4,1,37,44,N,N
R227CU1HOM7L8L,4,29,33,N,N
R2UFC1LSXPXDWH,4,62,65,N,N
R1AD1D14INY86Q,1,49,65,N,Y
R2VC4MYRA1JZC1,5,23,27,N,Y
R33AKBEB645OK5,5,32,36,N,Y
R21UI5YVBPJ69U,5,47,49,N,Y
R2CKIUJTE5H5P,3,18,25,N,N
ROYMV4RNUKPLJ,1,28,32,N,N
R3UP9NCJQK49E5,1,20,32,N,N
R2E05P3BL293K,2,23,32,N,Y
RBH1JQ0F4C8JA,1,16,29,N,N
R36J359O3NHPCM,1,16,28,N,Y
RXG1STB9TAQND,2,22,24,N,N
R21VOUKBEYEBVB,1,16,24,N,Y
R1S04APARVOJ4L,4,18,22,N,Y
R3279YQMPT01O,1,28,37,N,Y
R2VMIB6A0502MQ,1,47,47,N,Y
RSA6IHQ4TIP8F,1,20,27,N,Y
REWF1OC4K4HJ9,5,23,26,N,Y
RX63ZJABH23VW,5,109,140,N,N
R1WIBQ3HHQ4O99,5,30,39,N,Y
R8AHFK51EH6PC,1,18,28,N,N
R35MOFJDT67FR3,3,40,53,N,N
R2VLG9BR32HD5W,1,21,26,N,Y
R3CU6SKJWLLNRG,5,23,26,N,Y
RYO7LUPO2OHEU,1,15,23,N,N
R3DUIEIAC841Q,1,23,31,N,Y
R3EL0G2NIMLIJQ,5,21,21,N,Y
R36QQGFHUSY0FG,1,20,23,N,N
RT9F2W66HRQ2E,4,16,21,N,Y
RWH8W1QY64QQT,5,21,21,N,N
RJ8YT73I8K4W9,4,19,22,N,N
R1IMG9MN73019I,5,55,72,N,N
R3D034CIIDXJE4,5,70,70,N,N
RATD23JIGGA03,4,16,24,N,N
R1YCGI3HDPAYBW,3,27,32,N,N
R39TVTECZ1BDMZ,5,21,21,N,N
R2SGHUC68RRCRZ,5,21,21,N,N
R2IC94FSRPDM99,5,82,98,N,N
R2X771TTDLJ0OH,4,20,21,N,Y
RL0BWXCZ1T9IZ,5,94,106,N,Y
R18VNDWL33ZIS7,5,34,41,N,N
R9NW0C5BQDBNI,5,53,59,N,N
R2G3FRI7RF86DA,3,12,21,N,N
R3QMP3SDMLYTYE,5,28,35,N,Y
R11FHXPWZ0LTBG,2,45,47,N,Y
R1WU9L1K5QQR7U,2,17,30,N,N
R2U4CZ840U7HYP,1,16,22,N,N
R1NYGJTQMBEUYP,3,20,29,N,Y
RYW3RX5U6UVKT,1,28,38,N,N
R1QXQKD2WWK5Y5,1,71,85,N,Y
R2IFHDV0B6EB7H,5,39,50,N,N
R3LOGL6B6BXVTG,1,28,28,N,N
R5MEWA9QB3L07,1,39,41,N,N
RYAKRFJ9RPT3,5,87,89,N,Y
RWK4DGV5WZQ4H,1,33,36,N,N
R1FO7QI1S2YOK9,3,43,55,N,N
R350PLZT86NQJR,4,46,55,N,Y
R1SVQXZF8JWH3P,1,29,34,N,N
R236265WE9SIQA,4,72,77,N,Y
R3UJFNCVCHTWYM,5,33,35,N,N
R203G98QATB1MI,1,23,24,N,N
R311TA45VRKBYX,1,44,47,N,N
R1ROO06Q4Q5FQF,5,76,87,N,N
RGNINKGR28Y76,4,18,24,N,N
R2NVDFAPWSXREE,3,71,77,N,Y
R11S8VWON0TQ2Z,5,28,35,N,Y
RPQCSNU9W7WUC,1,19,27,N,Y
R1BBTU46MKWPSM,4,20,21,N,N
R37D934MUBZI2C,5,26,28,N,N
R31ZZ7ORAJXBEY,3,20,22,N,N
R26DHJOZWJ9E5D,5,24,24,N,N
RTLSAAATJEBRI,5,28,29,N,Y
RK32TY7JL3D8X,2,24,33,N,Y
R3ACTGT90EKGHM,1,12,24,N,N
R2YAE86IODJ5FE,5,21,27,N,N
R1OBKZY8LM2WPW,1,43,43,N,Y
R38HJXW6U7KS60,3,37,39,N,Y
RT1AQKKEWNM6I,1,35,39,N,N
R1EANPS7YXHDB3,5,27,33,N,Y
R1SLY9FS54P0J4,5,587,609,N,Y
RE32Q7FF8CPVT,5,31,32,N,Y
R2N9ZSBUS2FT30,2,16,23,N,Y
R26WUS7XX65HU0,4,26,26,N,Y
R2IW8VQS1UYZ1,5,21,22,N,N
R3SU24IYRJJG3,1,26,38,N,Y
R3FOQLKZP1WGYC,1,14,22,N,N
R2TFZKX2BI7BDB,1,44,49,N,N
R2G43PGB8J1UB3,4,36,38,N,Y
R2HBOI0KFZWIM1,5,19,23,N,Y
R15EH0RI5QK0P3,1,18,27,N,N
R3VNJZHVZ1LZ7O,4,22,25,N,N
R2DMYY8Y4BNMGZ,5,28,31,N,Y
R3GQRR9HUF1NL2,5,24,29,N,N
R2HWWWIXSDWPT4,5,31,33,N,N
RS6CBHOSUC9M2,5,31,35,N,N
R348GDG81M507Y,1,18,26,N,Y
RPRP6F6ABCLLK,2,28,39,N,Y
R1PRYK5X9PLFP5,3,42,49,N,N
R1ZEZTV8JQ026R,2,73,102,N,N
R10BMNGG4Y12C5,3,18,23,N,Y
R3ASWDAF6TPYM0,2,31,32,N,Y
R1I8U8AG1DO2RO,5,24,32,N,N
R222NXY82HQQPG,1,12,22,N,Y
R3COKKABMY1L94,1,14,26,N,N
R2QI2IU0NXLBZH,1,14,25,N,N
RW23VBNAGLJRZ,1,40,64,N,N
R1GSHBQ11U87YE,5,20,26,N,N
R2BE4NX7XNRU3,2,13,23,N,Y
R2CA1CQHRFHW2J,5,76,93,N,N
R3UIC1JJ6PD4CP,1,14,21,N,Y
R13D8F79QOFIBW,5,40,47,N,Y
REB0P1EPP2CZE,3,17,29,N,Y
R22VNEBYCCRHW9,5,24,30,N,Y
R2PHMG1ZI6ZDET,1,170,225,N,N
R2164NAF9Z2NO1,4,110,136,N,N
R19EK5UWULA40O,1,14,23,N,Y
R21IAQQFOQVLJX,5,18,29,N,N
R7CTVSUHPSAJ0,2,30,44,N,Y
R3RVSRD5J8V582,5,22,23,N,N
RQLH0XV0AERFH,5,61,67,N,N
R3491XC1MPZT5S,1,25,36,N,N
R1FTPC4SSJ7LZ3,5,58,64,N,N
R2UJI8LARCE9GF,4,28,30,N,Y
R286T8E173PF30,1,28,41,N,N
R18Q13EMLV4HAA,1,35,46,N,Y
R2KSWT3XKYIOG8,5,26,29,N,N
R343312IQAWTZL,1,33,33,N,Y
R2757CG4S5AZES,2,18,28,N,Y
R1PRAF0K3E4GL8,5,27,30,N,Y
R1AW9VQ35WT6XF,5,165,195,N,Y
R12G7IVFOJNUFR,5,24,26,N,Y
R1TI3F5UN4AGMT,5,47,49,N,N
R29A3DDWBJJS1F,3,27,38,N,N
R1375QJ2GMG2PV,1,109,111,N,Y
R2VR0C1DS6RI16,1,36,54,N,N
R361T05AG1GE2W,5,36,56,N,N
R3D0KOXYS9OW85,4,17,21,N,Y
R3S0159ZBGWD7Z,1,22,37,N,N
R3DTFC2SNVFGLQ,1,28,29,N,Y
R3VYFC71BVJW3R,3,34,34,N,Y
R1TPP9MPI3WM82,2,55,63,N,N
R189PKTLM6TRUC,5,21,26,N,Y
R1T7VDW8CL7PO7,5,26,30,N,N
R2M1Y4I23PA1PE,5,18,23,N,Y
R3L4JI0KP93YKD,1,99,104,N,Y
R3Q1DQFY0EH0P2,4,51,54,N,N
R1EWP07D9QYJW4,4,22,22,N,Y
R2D57QMGAOZ4UN,5,61,74,N,Y
R39UPDNM5TECB5,5,23,23,N,N
R3VWRPL2TQCZFB,5,172,193,N,Y
R1XMTF8AM0E18N,5,49,52,N,N
R2PMWNEIW137JZ,5,20,21,N,Y
R278LLN5FZIGPU,1,24,42,N,N
R1H8MIYKJSA7GI,4,21,22,N,N
R36JMJOT4PVKVO,1,15,25,N,Y
R3VRZEWTGSOFG4,1,12,22,N,Y
R37HIKXV6TV5ZS,5,29,34,N,Y
R24KXJKA33UVHM,4,75,79,N,N
R37699T73S40DD,5,60,67,N,N
RZ6Y7VMT2S52G,1,14,27,N,N
R3K2UTX57VF910,5,24,27,N,Y
RL7GD5RWZ3TWC,1,21,30,N,Y
R1CKB41D1L9E41,5,22,22,N,Y
RAUVR3CADNJIY,5,55,56,N,N
REEBLJZR9G5H9,1,20,30,N,Y
R81ISG0FMT0L3,5,22,28,N,N
RCONKATZ9T8KA,5,22,27,N,Y
R25125IP8TGUCB,3,21,21,N,N
RLP2Q8UKPRRPI,5,91,102,N,N
R20X4WDFXOVKPQ,2,21,33,N,N
R1W31U6W0RPCGX,5,19,22,N,Y
R2WULEJ99VUEOP,1,19,28,N,N
R2ERKX43LFI26Q,1,15,24,N,N
R1Y0D5GG02SOHZ,5,24,35,N,N
R1RSDSMVWMOQ7A,5,368,405,N,Y
R2WQTXFHQMTRNM,5,32,46,N,N
RIN9F74QMYBQT,4,21,25,N,N
R31X2M0LMUYDF0,1,54,85,N,N
R33ZBD3KO252WZ,5,25,37,N,N
R1D9MFTRO4ZHGN,5,66,79,N,N
R1RVP56Y1QF24T,3,15,22,N,Y
RS3MXNPZLT967,5,30,35,N,N
R1T1C4TOQIX147,1,36,56,N,N
R1220GJJ1ZKLUS,1,84,130,N,N
R3E4F4ULP7BJAI,1,47,48,N,Y
R3BID0BEH0LU0A,3,41,51,N,N
R3J6C1D6U9O8ZT,2,40,47,N,Y
RV2TN4F8188P4,5,197,222,N,Y
RSUUGUL23XU3K,3,21,23,N,N
R176DT3D2PX8TR,5,41,53,N,N
R362GTDM1AV8G2,5,37,47,N,N
RQCIUYEIGCH5V,5,18,26,N,N
R18J2VS3770KPI,1,42,43,N,Y
R3UYX580JMGJ6M,5,62,77,N,Y
RXY4N4SZ2UJP6,5,93,109,N,Y
RWKBO98RH25TP,5,21,24,N,N
R1BNOY7BWQG6DW,1,29,45,N,Y
R20673QYJZYLWL,5,24,31,N,N
R20L9D824XFJJ8,5,19,36,N,N
R2T1L2SRC55RCV,5,39,39,N,N
R25ELN04JZDPJE,5,39,43,N,Y
R3DW8FJ0JZ7CQF,5,26,35,N,N
R1K3RQ88IF776O,5,39,49,N,N
R26CQNL927V19Q,1,35,59,N,N
RCSSA7WC62HPO,1,60,94,N,N
R2TW9DN2AZQR17,5,20,28,N,Y
R3VNNA3YL48039,5,181,200,N,Y
R2K8L5VXQ03RUG,1,13,21,N,N
R16P6OM1L097AN,5,27,31,N,N
R3EHO6WMAID1A0,4,37,39,N,N
R364DL822ZVUQX,2,277,365,N,N
RXWVPNAZ9XKSW,5,132,153,N,N
R2JLBKUTHAAN0B,4,61,75,N,Y
R1FHNN3CN3WY3N,1,42,46,N,N
RJV1HZJZXN2RG,4,71,82,N,N
R2I74445LELASO,5,142,156,N,Y
R3YG322FSJQKA,5,24,27,N,N
R2LPM9V86MO9HT,1,90,133,N,Y
RX263LEJAVVST,1,19,25,N,Y
R2WH0N4Z3LJ5ZO,1,85,101,N,Y
R2ZSLG3LOTNMWY,1,36,50,N,Y
R1ZQZUR6SDOFA6,3,30,35,N,Y
RVR6IT3LP4T36,1,22,29,N,Y
R2RU9MG1E8NDOX,1,57,88,N,N
RN52LT6C1GDMJ,5,23,24,N,Y
R3D9ZPIN47PRI5,5,35,36,N,N
R2YR5FOTBZE1AL,1,38,42,N,N
RCN4CIXP5YGTD,4,21,21,N,Y
R2Q5VKVETPX7AF,5,280,304,N,Y
R30O1BOUUCLI4O,3,108,143,N,N
R3SMUEMOEUD6EW,5,36,40,N,N
R3RDYPR73FJKOL,5,19,21,N,N
R3C4S8PWGBHUME,3,22,28,N,Y
R11QMS17ALOHAE,5,23,23,N,Y
RXHO5PFHP37KE,5,35,38,N,Y
R2C1ASO5FCY66J,1,26,30,N,N
R1LOP0SOUTX2O6,4,58,74,N,Y
R2LQ0J92WLQEAV,5,16,21,N,N
R3D335CZZMJI2V,5,148,152,N,Y
R27JGFEY3BB9IM,5,35,38,N,N
RBSXY7AKZ8WQR,5,60,64,N,N
R3EWMC3NBPSDG7,4,26,30,N,Y
R1H4SXLVHOG7R5,4,26,26,N,Y
R1XDN4JVDX5X5P,5,71,81,N,N
RPBQBV19FVCBR,1,30,39,N,Y
R23O151KRRGF6O,5,19,21,N,Y
R3TQ7J62O5B922,1,22,22,N,Y
R3LH1OCLOO1XAX,5,204,236,N,N
R7O8IOOT8LSJ0,4,28,33,N,Y
R3FH1J6PY73X46,5,32,35,N,N
RX7Z6DKCYOXXJ,5,29,36,N,N
R214U88EFBLNFB,5,53,64,N,Y
R358BKPY6Q5I3C,5,22,34,N,N
R3RUAN69IM86S2,2,43,45,N,N
R1WPYQP1WUNYTW,5,119,136,N,Y
R26JUUECBTBLHM,5,44,49,N,Y
R3FNUEXMWEWO2Q,1,98,121,N,Y
R2JBDNE5E38C4C,4,43,47,N,Y
R3J4FHJ2H8D4WR,3,17,25,N,Y
R15MA92S9RAC8I,2,39,54,N,N
R2W7JAZOJVDMFN,2,15,30,N,Y
R3P82Z3GX9IXN8,1,113,141,N,Y
R3D7CZ103MMSJY,5,78,81,N,N
R3TOQ2BK0FQE6M,5,47,61,N,N
R1SIXBF01R5513,1,56,59,N,Y
R3TECMWPNSDOPY,5,21,30,N,N
RZED1CHFEUJKL,5,34,35,N,N
RXQ2OFEP7O0JP,1,21,24,N,Y
R3RSUYAC2727NZ,5,80,83,N,Y
R1BDMTOVPBQ5UZ,4,43,49,N,N
R3PBNRR0H7ZK0R,4,64,83,N,Y
R2Q0EE2I9DWHN0,5,29,33,N,Y
R3IJFPN4QH1H5I,5,33,51,N,N
R2ZZ9HKART6O2M,5,22,22,N,Y
R2GONS0DHZRFA3,5,31,33,N,N
R2WGGXFL019KKV,5,20,28,N,Y
R1MSM4YCCOFWJU,5,184,196,N,N
R2284DRWITKAZF,1,23,30,N,Y
R176VG6F5STEKF,1,20,29,N,Y
R3QL7N6O00JUX6,1,17,26,N,N
R7BBAIJ78131M,5,101,105,N,Y
RVKA5EZK9VQ7M,5,121,135,N,N
RBB51R6S7ZZE3,4,40,44,N,Y
R2OSEVZIE4TMAN,5,43,50,N,N
R2OQHOHT4BD5DP,4,143,152,N,Y
